iter	Passed	Remaining
399	49595	74392
400	49685	74217
401	49765	74029
402	49882	73895
403	49970	73719
404	50095	73596
405	50180	73417
406	50290	73274
407	50385	73108
408	50479	72941
409	50590	72801
410	50674	72621
411	50755	72437
412	50843	72264
413	50955	72125
414	51052	71965
415	51145	71800
416	51230	71624
417	51313	71446
418	51400	71274
419	51493	71110
420	51602	70968
421	51678	70782
422	51765	70612
423	51845	70431
424	51939	70270
425	52032	70109
426	52120	69941
427	52215	69782
428	52303	69616
429	52387	69443
430	52467	69266
431	52551	69095
432	52636	68926
433	52734	68774
434	52826	68614
435	52935	68476
436	53047	68342
437	53166	68218
438	53267	68070
439	53377	67934
440	53473	67781
441	53574	67634
442	53687	67503
443	53789	67357
444	53885	67205
445	53972	67041
446	54052	66869
447	54150	66720
448	54216	66533
449	54314	66384
450	54405	66227
451	54473	66042
452	54578	65904
453	54681	65761
454	54780	65616
455	54858	65445
456	54952	65294
457	55047	65143
458	55124	64973
459	55224	64829
460	55303	64660
461	55401	64515
462	55499	64369
463	55589	64215
464	55722	64111
465	55811	63955
466	55897	63797
467	56003	63661
468	56105	63522
469	56171	63342
470	56276	63206
471	56396	63087
472	56461	62907
473	56552	62756
474	56623	62583
475	56711	62430
476	56764	62238
477	56807478	568478	56855479	569479	56916480	570480	56978481	570481	57036482	57139	61161
483	57206	60988
484	57265	60808
485	57331	60634
486	57399	60463
487	57462	60288
488	57534	60123
489	57602	59953
490	57675	59790
491	57733	59611
492	57802	59443
493	57861	59266
494	57926	59097
495	57989	58924
496	58050	58751
497	58121	58588
498	58207	58441
499	58278	58278
500	58341	58108
501	58419	57954
502	58478	57780
503	58551	57621
504	58613	57452
505	58665	57274
506	58727	57106
507	58783	56932
508	58860	56778
509	58928	56617
510	58967	56429
511	59015	56249
512	59097	56102
513	59173	55949
514	59245	55794
515	59309	55631
516	59370	55465
517	59434	55303
518	59496	55140
519	59542	54962
520	59586	54782
521	59625	54599
522	596522	59651523	597523	59711524	59822	54124
525	59885	53964
526	59956	53812
527	60021	53655
528	60075	53488
529	60139	53331
530	60212	53181
531	60262	53013
532	60331	52860
533	60386	52696
534	60450	52540
535	60516	52387
536	60584	52235
537	60623	52059
538	60662	51883
539	60692	51701
540	60735	51529
541	60799	51376
542	60870	51229
543	60954	51094
544	61032	50954
545	61128	50828
546	61248	50722
547	61291	50553
548	61333	50385
549	61380	50220
550	61421	50051
551	61461	49881
552	61509	49719
553	61568	49566
554	61657	49436
555	61742	49305
556	61795	49148
557	61833	48979
558	61867	48807
559	61902	48637
560	61942	48471
561	61976	48302
562	62033	48150
563	62108	48012
564	62197	47886
565	62269	47747
566	62334	47603
567	62400	47459
568	62469	47318
569	62508	47155
570	62564	47005
571	62654	46881
572	62699	46724
573	62748	46569
574	62850	46454
575	62930	46324
576	62991	46179
577	63036	46023
578	63092	45875
579	63176	45748
580	63235	45603
581	63282	45450
582	63321	45291
583	63355	45130
584	63402	44977
585	63431	44813
586	63472	44657
587	63510	44500
588	635588	63573589	636589	63684	44255
590	63756	44122
591	63823	43986
592	63917	43869
593	63971	43724
594	64041	43591
595	64114	43460
596	64201	43338
597	64300	43225
598	64373	43094
599	64470	42980
600	64532	42842
601	64576	42693
602	64613	42539
603	64639	42379
604	64675	42225
605	64718	42077
606	64873	42001
607	64922	41858
608	64962	41708
609	65007	41562
610	65116	41456
611	65170	41317
612	65211	41169
613	65279	41038
614	65342	40905
615	65385	40759
616	65420	40609
617	65452	40457
618	65490	40310
619	65524	40160
620	65557	40010
621	65592	39861
622	65618	39708
623	65653	39560
624	65689625	657625	65721626	65814	39152
627	658627	65826628	658628	65866629	65950	38732
630	66026	38611
631	66079	38476
632	661632	66119633	661633	66191	38211
634	66270	38092
635	66318	37956
636	66383	37829
637	66456	37707
638	66524	37582
639	66590	37457
640	66696	37354
641	66749	37221
642	66806	37091
643	66876	36968
644	66943	36844
645	67024	36728
646	67109	36614
647	67194	36500
648	67226	36358
649	67282	36228
650	67346	36104
651	67384	35965
652	67497	35867
653	67561	35743
654	67645	35630
655	67715	35509
656	67755	35373
657	67795	35237
658	67904	35137
659	67965	35012
660	68008	34879
661	68057	34748
662	68099	34614
663	68151	34486
664	68240	34376
665	68312	34258
666	68389	34143
667	68461	34025
668	68536	33909
669	68615	33795
670	68686	33678
671	68739	33551
672	68818	33437
673	68880	33315
674	68953	33199
675	69018	33080
676	69078	32957
677	69141	32836
678	69208	32718
679	69278	32601
680	69341	32481
681	69407	32362
682	69466	32241
683	69539	32126
684	69593	32002
685	69662	31886
686	69728	31768
687	69789	31648
688	69854	31530
